canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](Cn2cc(C3CC3)nn2)C1,P01375,,69.0,,7.161,Other,compound_5075
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NCCc1ccc(F)cc1,P01375,,42.0,,7.377,Other,compound_5076
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](Oc2ccccc2)C1,P01375,,57.0,,7.244,Other,compound_5077
N#Cc1cnn2c(-c3cc(NC45CCC(O)(CC4)CC5)c(C(=O)NCC4(F)CC4)cn3)ccc2c1,P01375,,151.0,,6.821,Other,compound_5078
N#Cc1cnn2c(-c3cc(NC45CCC(O)(CC4)CC5)c(C(=O)NCC4(C(F)F)COC4)cn3)ccc2c1,P01375,,183.0,,6.738,Other,compound_5079
N#Cc1cnn2c(-c3cc(NC45CCC(O)(CC4)CC5)c(C(=O)NCC4(CO)COC4)cn3)ccc2c1,P01375,,231.0,,6.636,Other,compound_5080
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](CN2CCOC2=O)C1,P01375,,35.0,,7.456,Other,compound_5083
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@H](CN2CCOC2=O)CC1,P01375,,57.0,,7.244,Other,compound_5084
COC(=O)NCCCNc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,P01375,,55.0,,7.26,Other,compound_5085
COC(=O)NCCCCNc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,P01375,,66.0,,7.18,Other,compound_5086
COC(=O)NCC(C)(C)CNc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,P01375,,280.0,,6.553,Other,compound_5087
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(Cn2ccccc2=O)cc1,P01375,,11.0,,7.959,Other,compound_5088
