canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)NCC(C)(C)C)cc4)n2)S(=O)(=O)CCC3)cc1F,Q08499,,300.0,,6.523,Enzyme,compound_11146
O=C(O)Cc1ccc(Nc2nc(-c3ccccc3F)nc3c2SCCC3)cc1,Q08499,,3400.0,,5.469,Enzyme,compound_11147
O=C(O)Cc1ccc(Nc2nc(-c3cccc(F)c3)nc3c2SCCC3)cc1,Q08499,,680.0,,6.167,Enzyme,compound_11148
O=C(O)Cc1ccc(Nc2nc(-c3ccc(F)cc3)nc3c2SCCC3)cc1,Q08499,,1000.0,,6.0,Enzyme,compound_11149
O=C(O)Cc1ccc(Nc2nc(-c3ccc(Cl)cc3)nc3c2SCCC3)cc1,Q08499,,420.0,,6.377,Enzyme,compound_11150
N#Cc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cc1,Q08499,,290.0,,6.538,Enzyme,compound_11151
COc1cccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)c1,Q08499,,1800.0,,5.745,Enzyme,compound_11152
CN(C)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cc1,Q08499,,790.0,,6.102,Enzyme,compound_11153
CC(=O)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cc1,Q08499,,1000.0,,6.0,Enzyme,compound_11154
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cn1,Q08499,,7400.0,,5.131,Enzyme,compound_11155
CN(C)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cn1,Q08499,,1600.0,,5.796,Enzyme,compound_11156
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)c(F)c1F,Q08499,,2200.0,,5.658,Enzyme,compound_11157
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cc1Cl,Q08499,,430.0,,6.367,Enzyme,compound_11158
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cc1,Q08499,,1500.0,,5.824,Enzyme,compound_11159
CN(C)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cc1,Q08499,,2100.0,,5.678,Enzyme,compound_11160
CC(=O)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cc1,Q08499,,860.0,,6.066,Enzyme,compound_11161
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cn1,Q08499,,3800.0,,5.42,Enzyme,compound_11162
CN(C)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cn1,Q08499,,1200.0,,5.921,Enzyme,compound_11163
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)c(F)c1F,Q08499,,3400.0,,5.469,Enzyme,compound_11164
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cc1Cl,Q08499,,1300.0,,5.886,Enzyme,compound_11165
O=C(O)Cc1ccc(Nc2nc(-c3ccc4ccccc4c3)nc3c2S(=O)(=O)CCC3)cc1,Q08499,,520.0,,6.284,Enzyme,compound_11166
O=C(O)Cc1ccc(Nc2nc(-c3ccc(-c4ccccc4)cc3)nc3c2S(=O)(=O)CCC3)cc1,Q08499,,790.0,,6.102,Enzyme,compound_11167
COc1cccc2cc(-c3nc4c(c(Nc5ccc(CC(=O)O)cc5)n3)S(=O)(=O)CCC4)ccc12,Q08499,,290.0,,6.538,Enzyme,compound_11168
O=C(O)Cc1ccc(Nc2nc(-c3ccc4c(F)cccc4c3)nc3c2S(=O)(=O)CCC3)cc1,Q08499,,440.0,,6.357,Enzyme,compound_11169
O=C(O)Cc1ccc(Nc2nc(-c3cc4ccccc4s3)nc3c2S(=O)(=O)CCC3)cc1,Q08499,,400.0,,6.398,Enzyme,compound_11170
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cc1F,Q08499,,1000.0,,6.0,Enzyme,compound_11172
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)c(F)c4)n2)S(=O)(=O)CCC3)cc1F,Q08499,,620.0,,6.208,Enzyme,compound_11173
COc1ccc(-c2nc3c(c(Nc4cc(F)c(CC(=O)O)cc4F)n2)S(=O)(=O)CCC3)cc1F,Q08499,,1300.0,,5.886,Enzyme,compound_11174
COc1ccc(-c2nc3c(c(Nc4cc(F)c(CC(=O)O)c(F)c4)n2)S(=O)(=O)CCC3)cc1F,Q08499,,580.0,,6.237,Enzyme,compound_11175
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)c(Cl)c4)n2)S(=O)(=O)CCC3)cc1F,Q08499,,1300.0,,5.886,Enzyme,compound_11176
COc1ccc(-c2nc3c(c(Nc4cc(Cl)c(CC(=O)O)cc4Cl)n2)S(=O)(=O)CCC3)cc1F,Q08499,,600.0,,6.222,Enzyme,compound_11177
COc1ccc(-c2nc3c(c(Nc4cc(F)c(CC(=O)O)cc4Cl)n2)S(=O)(=O)CCC3)cc1F,Q08499,,560.0,,6.252,Enzyme,compound_11178
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)c(F)c4)n2)S(=O)(=O)CCC3)cc1,Q08499,,1300.0,,5.886,Enzyme,compound_11179
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)c(F)c4)n2)S(=O)(=O)CCC3)c(F)c1F,Q08499,,1400.0,,5.854,Enzyme,compound_11180
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)c(F)c4)n2)S(=O)(=O)CCC3)cc1Cl,Q08499,,1300.0,,5.886,Enzyme,compound_11181
O=C(O)Cc1ccc(Nc2nc(-c3ccc4ccccc4c3)nc3c2S(=O)(=O)CCC3)cc1F,Q08499,,810.0,,6.092,Enzyme,compound_11182
O=C(O)Cc1ccc(Nc2nc(-c3cc4ccccc4s3)nc3c2S(=O)(=O)CCC3)cc1F,Q08499,,600.0,,6.222,Enzyme,compound_11183
COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,Q08499,,595.0,,6.225,Enzyme,compound_11185
C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(=O)O,Q08499,,3.0,,8.523,Enzyme,compound_11186
NC(=O)c1cccc(-c2c(-c3ccccc3)oc(=O)c3c2nn2c(-c4ccccc4)ccnc32)c1,Q08499,,2840.0,,5.547,Enzyme,compound_11188
Cc1c[n+]([O-])ccc1CC(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1ccc(OC(F)F)c(OC(F)F)c1,Q08499,,2.4,,8.62,Enzyme,compound_11190
COc1cc2oc(=O)ccc2c(OC)c1C[C@H](OC(=O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1)C(C)(C)O,Q08499,,16650.0,,4.779,Enzyme,compound_11191
COc1cc(O)c(/C=C/C(=O)O[C@@H](Cc2c(OC)cc3oc(=O)ccc3c2OC)C(C)(C)O)c(OC)c1CC=C(C)C,Q08499,,7810.0,,5.107,Enzyme,compound_11192
COc1cc(OC)c2ccc(=O)oc2c1/C=C/[C@H]1C[C@@H](C=C(C)C)c2c(c3ccccc3n(C)c2=O)O1,Q08499,,140.0,,6.854,Enzyme,compound_11193
COc1cc2c(c3oc(=O)ccc13)CCC(C)(C)O2,Q08499,,2200.0,,5.658,Enzyme,compound_11194
CC1(C)C=Cc2c(c(O)cc3ccc(=O)oc23)O1,Q08499,,2380.0,,5.623,Enzyme,compound_11196
COc1cc2oc(=O)ccc2c(OC)c1CC=C(C)C,Q08499,,9980.0,,5.001,Enzyme,compound_11197
COc1cc2oc(=O)ccc2c(OC)c1CCC(C)C,Q08499,,11490.0,,4.94,Enzyme,compound_11198
COc1cc(OC)c2ccc(=O)oc2c1CC=C(C)C,Q08499,,6820.0,,5.166,Enzyme,compound_11199
COc1cc(OC)c2ccc(=O)oc2c1CCC(C)C,Q08499,,10220.0,,4.991,Enzyme,compound_11200
COC1=CC(=O)c2cc(C)cc(-c3c(OC)cc(OC)c4ccc(=O)oc34)c2C1=O,Q08499,,5510.0,,5.259,Enzyme,compound_11201
COc1ccc([C@H](Cc2ccncc2)c2ccccc2)cc1OC1CCCC1,Q08499,,2.1,,8.678,Enzyme,compound_11202
COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,Q08499,,1031.0,,5.987,Enzyme,compound_11203
Cc1csc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@@H](C)N[C@@H](C)C5)cc4CN4CCOCC4)c3)CC2)n1,Q08499,,0.01995,,10.7,Enzyme,compound_11204
Cc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@@H](C)N[C@@H](C)C5)cc4CN4CCOCC4)c3)CC2)c1,Q08499,,0.01995,,10.7,Enzyme,compound_11205
CCOc1c(OC)ccc(C(=O)Cc2c(Cl)cncc2Cl)c1OC,Q08499,,81.0,,7.092,Enzyme,compound_11206
CCc1nc(Nc2ccc(CC#N)cc2)nc(-c2cccc(Cl)c2)n1,Q08499,,7.0,,8.155,Enzyme,compound_11207
COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c(OC)c1OC,Q08499,,3790.0,,5.421,Enzyme,compound_11208
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)cc1OC,Q08499,,13.0,,7.886,Enzyme,compound_11209
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OC)c1OC,Q08499,,110.0,,6.959,Enzyme,compound_11210
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OC)c1OCC1CC1,Q08499,,212.0,,6.674,Enzyme,compound_11211
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OC)c1OC1CCCC1,Q08499,,2010.0,,5.697,Enzyme,compound_11212
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCc2ccccc2)c1OC,Q08499,,63.0,,7.201,Enzyme,compound_11213
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCCc2ccccc2)c1OC,Q08499,,15.0,,7.824,Enzyme,compound_11214
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCCCc2ccccc2)c1OC,Q08499,,45.0,,7.347,Enzyme,compound_11215
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCCc2ccc(O)cc2)c1OC,Q08499,,8.0,,8.097,Enzyme,compound_11216
CNC(=O)c1ccc(CCOc2c(C(=O)Cc3c(Cl)cncc3Cl)ccc(OC)c2OC)cc1,Q08499,,11.0,,7.959,Enzyme,compound_11217
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCCc2ccc(C(=O)O)cc2)c1OC,Q08499,,17.0,,7.77,Enzyme,compound_11218
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCC(=O)O)c1OC,Q08499,,3760.0,,5.425,Enzyme,compound_11219
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCC(=O)NCc2ccccc2)c1OC,Q08499,,3.0,,8.523,Enzyme,compound_11220
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCC(=O)Nc2ccccc2)c1OC,Q08499,,1.0,,9.0,Enzyme,compound_11221
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCC(=O)N(C)c2ccccc2)c1OC,Q08499,,61.0,,7.215,Enzyme,compound_11222
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCC(=O)NCCO)c1OC,Q08499,,17.0,,7.77,Enzyme,compound_11223
COCCNC(=O)COc1c(C(=O)Cc2c(Cl)cncc2Cl)ccc(OC)c1OC,Q08499,,13.0,,7.886,Enzyme,compound_11224
CCCNC(=O)COc1c(C(=O)Cc2c(Cl)cncc2Cl)ccc(OC)c1OC,Q08499,,5.0,,8.301,Enzyme,compound_11225
COc1ccc(C(=O)Cc2c(Cl)c[n+]([O-])cc2Cl)c(OCC(=O)NCc2ccccc2)c1OC,Q08499,,5.0,,8.301,Enzyme,compound_11226
