canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
C=CCN(CC(=C)F)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,P31645,,39.0,,7.409,Transporter,compound_1550
C#CCN(CC1CC1)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,P31645,,210.0,,6.678,Transporter,compound_1551
CNCc1cc(C(=O)NC)ccc1Oc1ccc(Cl)cc1Cl,P31645,,13.0,,7.886,Transporter,compound_1552
CCN(CC)C(=O)C1(c2ccccc2)CC1(C)CN,P31645,,6900.0,,5.161,Transporter,compound_3558
C=C(F)CN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,P31645,,112.0,,6.951,Transporter,compound_1556
CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)CCC3)C[C@H]1CN,P31645,,480.0,,6.319,Transporter,compound_1557
Clc1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1Cl,P31645,,3960.0,,5.402,Transporter,compound_1558
C(=C/c1ccccc1)\CN1CCN(CCCn2nnnc2C(c2ccccc2)c2ccccc2)CC1,P31645,,7500.0,,5.125,Transporter,compound_1559
c1ccc(CC2CCN(CCCn3nnnc3-c3ccccc3)CC2)cc1,P31645,,880.0,,6.056,Transporter,compound_1560
NCC(=O)NCC1CC1(C(=O)C1NCCc2ccccc21)c1ccccc1,P31645,,150.0,,6.824,Transporter,compound_1561
CNC(C)C(=O)c1ccc(C(F)(F)F)cc1,P31645,,190.0,,6.721,Transporter,compound_3560
CN(C)CCCC1(c2cccc3ccccc23)OCc2cc(C#N)ccc21,P31645,,423.3333333333333,,6.373,Transporter,compound_3561
CN(C)CCCC1(c2ccc(Cl)c(Cl)c2)OCc2ccccc21,P31645,,13.0,,7.886,Transporter,compound_3562
c1ccc(CCCN2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,P31645,,8000.0,,5.097,Transporter,compound_1562
Fc1ccc(C(OCCN2CCN(c3cccc(Cl)c3Cl)CC2)c2ccc(F)cc2)cc1,P31645,,5000.0,,5.301,Transporter,compound_1563
Fc1ccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)cc1,P31645,,2000.0,,5.699,Transporter,compound_1564
Cc1ccc(C(c2ccccc2)[S+](O)Cc2cccs2)cc1,P31645,,118400.0,,3.927,Transporter,compound_1565
CCN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,P31645,,2300.0,,5.638,Transporter,compound_3565
C=CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,P31645,,150.0,,6.824,Transporter,compound_1573
O[S+](Cc1cccs1)C(c1ccc(F)cc1)c1ccc(F)cc1,P31645,,120500.0,,3.919,Transporter,compound_1574
O=[N+]([O-])c1ccc(-c2nnnn2CCN2CCC(Cc3ccccc3)CC2)cc1,P31645,,1240.0,,5.907,Transporter,compound_1575
Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(=O)n(C)n2)C3=O)ccc2c1COC2=O,P31645,,10400.0,,4.983,Transporter,compound_3571
CCCCN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,P31645,,1100.0,,5.959,Transporter,compound_3573
CNC(C)C(=O)c1ccccc1,P31645,,3860.0,,5.413,Transporter,compound_3574
CN(C)CCCC1(c2ccc3ccccc3c2)OCc2cc(C#N)ccc21,P31645,,54666.66666666666,,4.262,Transporter,compound_3575
CN(C)CCCC1(c2cc(Cl)cc(Cl)c2)OCc2ccccc21,P31645,,330.0,,6.481,Transporter,compound_3577
c1ccc(CC2CCN(CCCn3nnnc3-c3cccc4ccccc34)CC2)cc1,P31645,,310.0,,6.509,Transporter,compound_1576
CN(C)CCCC(=O)c1ccc2c(c1)COC2(CCCN(C)C)c1ccc(F)cc1,P31645,,1.6,,8.796,Transporter,compound_3579
Fc1ccc(C(OCCN2CCC(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1,P31645,,1670.0,,5.777,Transporter,compound_1582
Clc1ccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)cc1,P31645,,3130.0,,5.504,Transporter,compound_1583
CCCN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,P31645,,2400.0,,5.62,Transporter,compound_3580
CC(=O)c1cccc(-c2nnnn2CCN2CCC(Cc3ccccc3)CC2)c1,P31645,,4050.0,,5.393,Transporter,compound_1585
Cc1noc(-c2cccc(CN3CCN(C(=O)c4ccc(C[C@@H]5CC[C@H]([C@H](O)c6ccccc6)N5)cc4)CC3)n2)n1,P31645,,8794.0,,5.056,Transporter,compound_1586
c1ccc(CN2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,P31645,,5050.0,,5.297,Transporter,compound_1587
O[S+](Cc1cc(Br)cs1)C(c1ccccc1)c1ccccc1,P31645,,70900.0,,4.149,Transporter,compound_3582
CNCc1ccccc1Oc1ccc(Cl)cc1F,P31645,,73.0,,7.137,Transporter,compound_1590
O=C(CCC(=O)OC[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)S2)OC[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)O2,P31645,,992.0,,6.003,Transporter,compound_3588
CCN(CC1CC1)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,P31645,,540.0,,6.268,Transporter,compound_1592
c1ccc(CCN2CCN(CCCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,P31645,,8000.0,,5.097,Transporter,compound_1593
C(=C/c1ccccc1)\CN1CCN(CCCCn2nnnc2C(c2ccccc2)c2ccccc2)CC1,P31645,,6290.0,,5.201,Transporter,compound_1597
Fc1ccc(C(OCCN2CCN(c3ccccn3)CC2)c2ccc(F)cc2)cc1,P31645,,574.5,,6.241,Transporter,compound_1598
FC(F)(F)c1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1,P31645,,8810.0,,5.055,Transporter,compound_1599
CCCCCN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,P31645,,75.0,,7.125,Transporter,compound_3593
c1ccc(CCCN2CCN(CCCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,P31645,,158.85,,6.799,Transporter,compound_1601
Fc1ccc(C(OCCN2CCN(c3ccc(Cl)cc3Cl)CC2)c2ccc(F)cc2)cc1,P31645,,3910.0,,5.408,Transporter,compound_1602
C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,P31645,,49.0,,7.31,Transporter,compound_1603
Clc1ccccc1-c1nnnn1CCCN1CCC(Cc2ccccc2)CC1,P31645,,1320.0,,5.879,Transporter,compound_1604
c1ccc(CCN2CCN(CCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,P31645,,4830.0,,5.316,Transporter,compound_1607
CN(C)CCCC1(c2ccc(F)cc2)OCc2ccc3ccccc3c21,P31645,,12.0,,7.921,Transporter,compound_3595
Fc1ccc(C(OCCN2CCN(c3cccc(Cl)c3)CC2)c2ccc(F)cc2)cc1,P31645,,4960.0,,5.305,Transporter,compound_1610
O[S+](Cc1ccsc1Br)C(c1ccccc1)c1ccccc1,P31645,,59600.0,,4.225,Transporter,compound_1614
C#CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,P31645,,130.0,,6.886,Transporter,compound_1615
c1ccc(CCCN2CCN(CCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,P31645,,3860.0,,5.413,Transporter,compound_1616
Fc1ccc(C(OCCN2CCN(c3ccc(Cl)cc3)CC2)c2ccc(F)cc2)cc1,P31645,,6910.0,,5.161,Transporter,compound_1617
COc1ccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)cc1,P31645,,4050.0,,5.393,Transporter,compound_1618
c1ccc(CC2CCN(CCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,P31645,,7700.0,,5.114,Transporter,compound_1622
CCN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,P31645,,280.0,,6.553,Transporter,compound_3603
CN(C)CCCC1(c2ccc(F)cc2)OCc2c1ccc1ccccc21,P31645,,4.0,,8.398,Transporter,compound_3604
Fc1ccc(C(OCCN2CCN(c3ccccc3)CC2)c2ccc(F)cc2)cc1,P31645,,1906.0,,5.72,Transporter,compound_1624
Brc1ccccc1-c1nnnn1CCCN1CCC(Cc2ccccc2)CC1,P31645,,5130.0,,5.29,Transporter,compound_1625
CNC(C)C(=O)c1ccc(C)cc1,P31645,,118.0,,6.928,Transporter,compound_3605
NC[C@@H]1C[C@@]1(C(=O)N1CCc2ccccc21)c1ccc2c(c1)OCO2,P31645,,28.0,,7.553,Transporter,compound_1629
CCCCN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,P31645,,160.0,,6.796,Transporter,compound_3609
c1ccc(CCN2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,P31645,,1121.0,,5.95,Transporter,compound_1632
NC[C@@H]1C[C@@]1(C(=O)N1CCc2sccc2C1)c1ccc2c(c1)OCO2,P31645,,14.0,,7.854,Transporter,compound_1633
C=CCN(CC#CC)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,P31645,,210.0,,6.678,Transporter,compound_1634
