target_family,model,metric,si_reported,a100_workbook,array_recalculated,abs_diff_si_workbook,abs_diff_si_array,status
Other,GraphDTA,RMSE,0.705,0.705,,0.0,,consistent
Other,GraphDTA,PCC,0.785,0.785,,0.0,,consistent
Other,GraphDTA,Spearman,0.762,0.762,,0.0,,consistent
Other,GraphDTA,R2,0.611,0.611,,0.0,,consistent
Other,BACPI,RMSE,0.68,0.68,,0.0,,consistent
Other,BACPI,PCC,0.807,0.807,,0.0,,consistent
Other,BACPI,Spearman,0.791,0.791,,0.0,,consistent
Other,BACPI,R2,0.64,0.64,,0.0,,consistent
Other,PMF-CPI,RMSE,0.695,0.695,,0.0,,consistent
Other,PMF-CPI,PCC,0.793,0.793,,0.0,,consistent
Other,PMF-CPI,Spearman,0.785,0.785,,0.0,,consistent
Other,PMF-CPI,R2,0.621,0.621,,0.0,,consistent
Other,PreMOTA (from-scratch),RMSE,0.744,0.744,,0.0,,consistent
Other,PreMOTA (from-scratch),PCC,0.753,0.753,,0.0,,consistent
Other,PreMOTA (from-scratch),Spearman,0.742,0.742,,0.0,,consistent
Other,PreMOTA (from-scratch),R2,0.561,0.561,,0.0,,consistent
Other,PreMOTA (fine-tuned),RMSE,0.557,0.557,0.5568099617958069,0.0,0.00019003820419316586,consistent
Other,PreMOTA (fine-tuned),PCC,0.879,0.879,0.8792362417202122,0.0,0.00023624172021219358,consistent
Other,PreMOTA (fine-tuned),Spearman,0.866,0.866,0.8664170861561802,0.0,0.00041708615618019085,consistent
Other,PreMOTA (fine-tuned),R2,0.758,0.758,0.7584612965583801,0.0,0.00046129655838011985,consistent
